"","Date of Final Decision","Submission Number","Device","Company","Panel (Lead)","Primary Product Code"
"18","12/27/2012","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K123526"", ""K123526"")","ClearRead +Confirm","Riverain Technologies","Radiology","LLZ"
"19","03/22/2013","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K120771"", ""K120771"")","UniCel DxH 800 Coulter Cellular Analysis System","Beckman Coulter, Inc.","Hematology","GKZ"
"20","08/21/2013","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN130013"", ""DEN130013"")","Vitek MS","Biomerieux, Inc.","Microbiology","PEX"
"21","11/21/2013","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K130831"", ""K130831"")","MALDI Biotyper CA (MBT-CA) System","Bruker Daltonics, Inc.","Microbiology","PEX"
"22","01/24/2014","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K133259"", ""K133259"")","Ysio Max","Siemens Medical Solutions USA, Inc.","Radiology","KPR"
"23","04/22/2014","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K133649"", ""K133649"")","Hepatic VCAR","GE Medical Systems SCS","Radiology","JAK"
"24","08/22/2014","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K141480"", ""K141480"")","CVI42","Circle Cardiovascular Imaging Inc","Radiology","LLZ"
"25","09/17/2014","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K141069"", ""K141069"")","Lung Density Analysis","Imbio LLC","Radiology","JAK"
"26","10/10/2014","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K142037"", ""K142037"")","Quantra","Hologic, Inc.","Radiology","LLZ"
"27","11/17/2014","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140025"", ""DEN140025"")","BrainScope Ahead 100","BrainScope Company, Inc.","Neurology","PIW"
"28","02/27/2015","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K141922"", ""K141922"")","IRIS Intelligent Retinal Imaging System","IRIS Intelligent Retinal Imaging Systems, LLC","Ophthalmic","NFJ"
"29","04/24/2015","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K142918"", ""K142918"")","EndoTool SubQ","Monarch Medical Technologies","General Hospital","NDC"
"30","05/15/2015","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K143643"", ""K143643"")","Brainscope Ahead 200","Brainscope Company, Inc.","Neurology","PIW"
"31","06/11/2015","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K142512"", ""K142512"")","Personalized Physiology Analytics Engine Software","VGBio, Inc. (DBA PhysIQ)","Cardiovascular","PLB"
"32","11/05/2015","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K150102"", ""K150102"")","SnoreSounds","Appian Medical Inc.","Anesthesiology","MNR"
"33","12/21/2015","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K150817"", ""K150817"")","Dario Blood Glucose Monitoring System","LabStyle Innovations Ltd.","Clinical Chemistry","NBW"
"34","01/07/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K153427"", ""K153427"")","Volpara Imaging Software","Matakina Technology Ltd.","Radiology","LLZ"
"35","01/13/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K152733"", ""K152733"")","FFRct","HeartFlow, Inc.","Cardiovascular","PJA"
"36","06/17/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K153351"", ""K153351"")","Quantib Brain 1","Quantib BV","Radiology","LLZ"
"37","07/07/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K160088"", ""K160088"")","Cydar EV","Cydar Ltd.","Radiology","OWB"
"38","07/15/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K160016"", ""K160016"")","Steth IO","Stratoscientific, Inc.","Cardiovascular","DQD"
"39","07/28/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K161382"", ""K161382"")","LVivo Software Application","DiACardio, Ltd.","Radiology","LLZ"
"40","08/05/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K160338"", ""K160338"")","Triton System","Gauss Surgical Inc.","General and Plastic Surgery","PBZ"
"41","08/09/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K161148"", ""K161148"")","Icobrain","Icometrix","Radiology","LLZ"
"42","08/24/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K161772"", ""K161772"")","FFRct v2.0","HeartFlow, Inc.","Cardiovascular","PJA"
"43","09/09/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K161201"", ""K161201"")","ClearRead CT","Riverain Technologies, LLC","Radiology","OEB"
"44","09/19/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K161625"", ""K161625"")","PixelShine","AlgoMedica","Radiology","LLZ"
"45","09/22/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K161068"", ""K161068"")","Ahead 300","Brainscope Company Inc.","Neurology","PIW"
"46","10/19/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K160401"", ""K160401"")","Tyto Stethoscope","Tyto Care Ltd.","Cardiovascular","DQD"
"47","11/09/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?ID=P150043"", ""P150043"")","QVCAD System","QView Medical, Inc.","Radiology","MYN"
"48","11/30/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K161834"", ""K161834"")","One Drop Blood Glucose Monitoring System","AgaMatrix Inc.","Clinical Chemistry","NBW"
"49","11/30/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K163138"", ""K163138"")","Clarius Ultrasound System","Clarius Mobile Health Corp.","Radiology","IYN"
"50","12/07/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K161322"", ""K161322"")","CT CoPilot","Zepmed, LLC","Radiology","LLZ"
"51","12/28/2016","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K161959"", ""K161959"")","ClearView CCAD","ClearView Diagnostics Inc.","Radiology","LLZ"
"52","01/05/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K163253"", ""K163253"")","Arterys Cardio DL","Arterys Inc.","Radiology","LLZ"
"53","01/06/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K163013"", ""K163013"")","Quantib Brain 1.2","Quantib BV","Radiology","LLZ"
"54","02/14/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K162830"", ""K162830"")","SIS Software","Surgical Information Sciences, Inc.","Radiology","LLZ"
"55","02/23/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K162855"", ""K162855"")","Reveal LINQ","Medtronic, Inc.","Cardiovascular","MXD"
"56","03/31/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K162627"", ""K162627"")","EnsoSleep","EnsoData, Inc.","Neurology","OLZ"
"57","04/06/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160026"", ""DEN160026"")","23andMe Personal Genome Service (PGS) Genetic Health Risk Test for Hereditary Thrombophilia","23andMe, Inc.","Hematology","PTA"
"58","04/26/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K170069"", ""K170069"")","AmCAD-UV","AmCad BioMed Corporation","Radiology","LLZ"
"59","05/05/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K163665"", ""K163665"")","MATRx Plus","Zephyr Sleep Technologies","Anesthesiology","MNR"
"60","05/11/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K163622"", ""K163622"")","Lung Vision","Body Vision Medical Ltd.","Radiology","LLZ"
"61","05/24/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K170172"", ""K170172"")","UNiD Spine Analyzer","Medicrea International","Radiology","LLZ"
"62","06/07/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K170250"", ""K170250"")","SmartTarget","SmarTarget, Ltd.","Radiology","LLZ"
"63","06/09/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K170747"", ""K170747"")","Syngo Application Software","Siemens Medical Solutions, USA, Inc.","Radiology","LLZ"
"64","06/26/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K170568"", ""K170568"")","CardioLogs ECG Analysis Platform","Cardiologs Technologies","Cardiovascular","DPS"
"65","07/19/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170022"", ""DEN170022"")","QuantX","Quantitative Insights, Inc","Radiology","POK"
"66","08/01/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K171315"", ""K171315"")","Advanced RBC Application","Cella Vision AB","Hematology","JOY"
"67","08/11/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K172122"", ""K172122"")","SOZO","ImpediMed Limited","Gastroenterology-Urology","OBH"
"68","08/17/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K163339"", ""K163339"")","SpectralMD DeepView Wound Imaging System 2.0","SpectralMD, Inc.","Cardiovascular","DPT"
"69","09/07/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K170981"", ""K170981"")","NeuroQuant","CorTechs Labs, Inc","Radiology","LLZ"
"70","09/14/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K172385"", ""K172385"")","Clarius Ultrasound System","Clarius Mobile Health Corp.","Radiology","IYN"
"71","09/15/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K172356"", ""K172356"")","BladderScan Prime PLUS System","Verathon Incorporated","Radiology","IYO"
"72","09/27/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K171936"", ""K171936"")","Peerbridge Cor(TM) System","Peerbridge Health Inc.","Cardiovascular","DSH"
"73","10/20/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K163623"", ""K163623"")","Quantra","Hologic, Inc.","Radiology","LLZ"
"74","10/27/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K172803"", ""K172803"")","Infinitt PACS 7.0","Infinitt Healthcare Co.,Ltd.","Radiology","LLZ"
"75","11/07/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K163694"", ""K163694"")","Rooti Rx ECG Event Recorder, Rooti Link APP Software","Rooti Labs Ltd.","Cardiovascular","DRG"
"76","12/22/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K172507"", ""K172507"")","SOZO","ImpediMed Limited","Cardiovascular","DSB"
"77","12/27/2017","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173420"", ""K173420"")","Radiomics App V1.0","Microsoft Corp.","Radiology","LLZ"
"78","01/04/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K171056"", ""K171056"")","WAVE Clinical Platform","Excel Medical Electronics, LLC","Cardiovascular","MWI"
"79","01/08/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K171328"", ""K171328"")","CNeuro CMRI","Combinostics Oy","Radiology","LLZ"
"80","01/11/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K171122"", ""K171122"")","CEREC Ortho Software","Dentsply Sirona","Dental","PNN"
"81","01/12/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173588"", ""K173588"")","Illumeo System","Philips Medical Systems Technologies, Ltd","Radiology","LLZ"
"82","01/25/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173542"", ""K173542"")","Arterys Oncology Dl","Arterys Inc.","Radiology","LLZ"
"83","02/08/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180091"", ""K180091"")","UNID Spine Analyzer","Medicrea International","Radiology","LLZ"
"84","02/13/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170073"", ""DEN170073"")","ContaCT","Viz.Al, Inc.","Radiology","QAS"
"85","02/23/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K170540"", ""K170540"")","DM-Density","Densitas, Inc.","Radiology","LLZ"
"86","03/08/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173605"", ""K173605"")","IQMR","Medic Vision - Imaging Solutions Ltd","Radiology","LLZ"
"87","03/09/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173939"", ""K173939"")","Quantib Brain","Quantib BV","Radiology","LLZ"
"88","03/15/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173839"", ""K173839"")","Tissue of Origin Test Kit-FFPE","Cancer Genetics, Inc.","Pathology","OIW"
"89","03/16/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160044"", ""DEN160044"")","Acumen Hypotension Prediction Index (HPI) Feature Software","Edwards Lifesciences LLC","Cardiovascular","QAQ"
"90","04/05/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180589"", ""K180589"")","DR 800 With MUSICA Dynamic","Agfa HealthCare N.V.","Radiology","JAA"
"91","04/11/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180001"", ""DEN180001"")","IDx-DR","IDx, LLC","Ophthalmic","PIB"
"92","04/16/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180126"", ""K180126"")","SOZO","ImpediMed Limited","Gastroenterology-Urology","OBH"
"93","04/20/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180161"", ""K180161"")","Viz CTP","Viz.ai, Inc.","Radiology","LLZ"
"94","05/01/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K172959"", ""K172959"")","PeraServer and PeraTrend","PeraHealth, Inc.","Cardiovascular","MWI"
"95","05/02/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180599"", ""K180599"")","Venue","GE Medical Systems Ultrasound and Primary Care Diagnostics, LLC","Radiology","IYN"
"96","05/14/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173810"", ""K173810"")","Ventripoint Medical System Plus (VMS+)","Ventripoint Diagnostics, Ltd.","Radiology","IYN"
"97","05/14/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180799"", ""K180799"")","Clarius Ultrasound Scanner","Clarius Mobile Health Corp.","Radiology","IYN"
"98","05/24/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180005"", ""DEN180005"")","OsteoDetect","Imagen Technologies, Inc.","Radiology","QBS"
"99","05/25/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180163"", ""K180163"")","TransEnterix Senhance Surgical System","TransEnterix, Inc","General and Plastic Surgery","NAY"
"100","06/05/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173821"", ""K173821"")","LungQ Software","Thirona Corporation","Radiology","JAK"
"101","06/12/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170043"", ""DEN170043"")","DreaMed Advisor Pro","DreaMed Diabetes, Ltd.","Clinical Chemistry","QCC"
"102","06/13/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K172983"", ""K172983"")","HealthCCS","Zebra Medical Vision Ltd.","Radiology","JAK"
"103","06/14/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173780"", ""K173780"")","EchoMD Automated Ejection Fraction Software","Bay Labs, Inc.","Radiology","LLZ"
"104","06/26/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173574"", ""K173574"")","DenSeeMammo","STATLIFE","Radiology","LLZ"
"105","06/29/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180038"", ""K180038"")","NuVasive Pulse System","NuVasive, Incorporated","Orthopedic","OLO"
"106","07/10/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181572"", ""K181572"")","Workflow Box","Mirada Medical Ltd.","Radiology","QKB"
"107","07/10/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181574"", ""K181574"")","Uscan","EchoNous, Inc.","Radiology","IYO"
"108","07/18/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173327"", ""K173327"")","DIP/U.S. Urine Analysis Test System","Healthy.io Ltd","Clinical Chemistry","JIL"
"109","07/23/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173444"", ""K173444"")","Quantitative Total Extensible Imaging (QTxi)","AIQ Solutions, Inc.","Radiology","LLZ"
"110","08/01/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180647"", ""K180647"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"111","08/29/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181502"", ""K181502"")","Zio AT ECG Monitoring System, Zeus System","IRhythm Technologies, Inc.","Cardiovascular","DQK"
"112","09/21/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182310"", ""K182310"")","Volpara Imaging Software","Volpara Health Technologies Limited","Radiology","LLZ"
"113","09/28/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173872"", ""K173872"")","FibriCheck","Qompium NV","Cardiovascular","DXH"
"114","09/28/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181771"", ""K181771"")","RightEye Vision System","RightEye, LLC","Ophthalmic","GWN"
"115","10/05/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182112"", ""K182112"")","Sense System with IBT Electrodes","Infinite Biomedical Technologies, LLC","Neurology","GXY"
"116","10/09/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181892"", ""K181892"")","Ziostation2","Ziosoft, Inc.","Radiology","LLZ"
"117","10/17/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182034"", ""K182034"")","Arterys MICA","Arterys Inc.","Radiology","LLZ"
"118","10/25/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181685"", ""K181685"")","Vivid E80, Vivid E90, Vivid E95","GE Medical Systems Ultrasound and Primary Care Diagnostics, LLC","Radiology","IYN"
"119","10/26/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182177"", ""K182177"")","Accipiolx","MaxQ-Al Ltd.","Radiology","QAS"
"120","11/02/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182616"", ""K182616"")","NvisionVLE Imaging System, NvisionVLE Optical Probe, NvisionVLE Inflation System","NinePoint Medical, Inc.","General and Plastic Surgery","NQQ"
